tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,polyline
205,6/9/15 8:18,6/9/15 8:21,457,Broadway & W 58 St,40.76695317,-73.98169333,469,Broadway & W 53 St,40.76344058,-73.98268129,17017,Subscriber,1976,1,ohywFdqpbM~BPrCZd@DhEbA`AXnB|@
1289,6/9/15 10:17,6/9/15 10:38,469,Broadway & W 53 St,40.76344058,-73.98268129,497,E 17 St & Broadway,40.73704984,-73.99009296,17017,Subscriber,1959,1,yrxwFtwpbMdCjAtC|AzBtApCxAtB|@x@iC~BtAlD`ClBrAvE~CdC|Ah@eBfH|A|GvAbHfAxHt@|@T~@h@BATq@@CV?FFZFfALzEj@xKjArGr@n@BfBRtBPLCp@s@LEp@B~AZ`@N|GlApGjAj@J`@Jv@P~B\LHHWHS
1296,6/9/15 10:42,6/9/15 11:04,497,E 17 St & Broadway,40.73704984,-73.99009296,314,Cadman Plaza West & Montague St,40.69383,-73.990539,17017,Subscriber,1986,1,gmswFherbMkCbIg@~ArBvAvE~Cj@^lG~DtFxDlFjDfDvBuCnHKXTRrEpDlC}GFUvBhBtMnKtFfErFhE`AkCxCsHfA_DXg@~ByGdA_DpC|BbBrAnElDnDzCrCfCrIpHpB`BpBxA`DZbBb@~Ah@ZBPNzBrBR`@f@f@V\FH@G@IDU?GN?RGJEVWf@o@x@gAtJsM~DqFzDkFpEgG`LeOnH{JpBsCrDcF`AuA~@kAbAsAf@{@Xm@lAuBf@g@r@]p@InA@fOZK~FG|E@Z`@KdIcBnCm@
1280,6/9/15 11:28,6/9/15 11:50,314,Cadman Plaza West & Montague St,40.69383,-73.990539,503,E 20 St & Park Ave,40.73827428,-73.98751968,17017,Subscriber,1986,1,c_kwF~grbMeBrJcC_AkFmBAECQCWAm@JyJDyB_@AAb@gO[oAAq@Hs@\g@f@mAtBYl@g@z@cArA_AjAkCrDmBjCoCxDoTtYmQdVuJrMi@p@w@dAWVKDSFY?MAMCCG@G]YKGSIc@c@iB_BaAiBm@_AWUe@Wu@WiAq@sBwAuJuGoEiDcFsDyDaDSM_Cq@eD}@wEsAOE[U_FyDuAcAo@g@mDeCkEyCoFiEiCmBiB_Bi@{@Ue@MMeBoAi@YcFu@yGeAu@Ik@AqBNoBLU?SEWOqDaCsDeCwBsAsBwAJW
456,6/9/15 13:12,6/9/15 13:19,503,E 20 St & Park Ave,40.73827428,-73.98751968,379,W 31 St & 7 Ave,40.749156,-73.9916,17017,Subscriber,1987,1,{tswFfuqbMxBeHz@iCwBuA{B~GcAjDsGjSoG`SyByA{AaAiHyEoNgJwFsDyE~N
718,6/9/15 13:30,6/9/15 13:42,379,W 31 St & 7 Ave,40.749156,-73.9916,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17017,Subscriber,1984,1,cxuwFhorbMWv@l@`@nAx@nI{W|PjBn@BfBRtBPLCp@s@LEp@B~AZ`@N|GlAhCf@`CqHl@mBhGuRxJ_[J_@s@e@}DgCeCaB_GyDL]
2262,6/9/15 14:11,6/9/15 14:49,174,E 25 St & 1 Ave,40.7381765,-73.97738662,523,W 38 St & 8 Ave,40.75466591,-73.99138152,17017,Subscriber,1982,1,atswF`vobMM\u@e@aEmCoDaCeAq@gExMcI~VkDvKcKp[iJzYmFtP{ByAyByAwDeCkIoFuFsD{ByAPi@
755,6/9/15 15:35,6/9/15 15:47,523,W 38 St & 8 Ave,40.75466591,-73.99138152,453,W 22 St & 8 Ave,40.74475148,-73.99915362,17017,Subscriber,1986,2,k{vwFjmrbMQh@{ByAwE~NYz@|@l@tD`C|BzApEtCtDbCnClBzEbDbElChDzB|@l@dElCxBtAbCdBbC~A`FuO
100,6/9/15 16:06,6/9/15 16:08,453,W 22 St & 8 Ave,40.74475148,-73.99915362,494,W 26 St & 8 Ave,40.74734825,-73.99723551,17017,Subscriber,1972,2,o}twFz}sbMPg@cAq@cEoC}B{A{ByAOb@
146,6/9/15 16:17,6/9/15 16:20,494,W 26 St & 8 Ave,40.74734825,-73.99723551,521,8 Ave & W 31 St,40.75096735,-73.99444208,17017,Subscriber,1972,2,omuwF~qsbMNc@{ByAuFsDyJuG
